"","lambda_loss","lambda_acs0","lambda_dacs","lambda_prec","lambda_seas","lambda_bd","theta_0","sd_theta","beta","gamma","sigma","lp__"
"1",0.122721011346444,0.0372348209631402,0.0181878357718847,0.0260444478654642,0.0139702779309611,0.0235355462133523,0.272182942058999,0.0704543231851423,0.00576982883537208,1.19533274670008,0.519849911332599,-3432.89903680326
"2",0.0869872127302763,0.0267050942773083,0.0199905609501243,0.0265207221959218,0.0260149668160767,0.0208247637737095,0.206225528120538,0.0549418591034481,0.00491803807843925,1.13060742624743,0.528377607436737,-3444.10646261705
"3",0.0845398318818026,0.041099069456637,0.0234603808072938,0.00378289036642766,0.0219186830999293,0.0261159580169933,0.216317921554345,0.0604461941799318,0.00546438880342461,1.12835753268331,0.519100402264144,-3434.06808788646
"4",0.109550623395591,0.038000119183368,0.0362651575776053,-0.00238225277224462,0.0181828065598571,0.0392723648334484,0.222107547833087,0.0669568333207142,0.00427771159021422,1.1784785112142,0.53107252871177,-3446.76746742593
"5",0.0998456098960708,0.0345868599855378,0.0485415118486654,0.00569639256243041,0.0213831584035682,0.0294292985056323,0.247614745343466,0.0767494452601709,0.00548834391444518,1.1604775290394,0.523507338275514,-3464.20187259156
"6",0.142723779769164,0.0382003562636355,0.0423970241692606,0.0522157988340493,0.0464893931648205,0.0354082643042885,0.340096501252522,0.0992834282378205,0.00804771443677858,1.15524382404807,0.509186044697027,-3455.75361522361
"7",0.0908629917201215,0.0185544773638795,0.0127246500050503,0.0131771676995815,0.0182075069491123,0.0377583364804305,0.184675880304963,0.0631831429604601,0.00402358885830954,1.16475703817031,0.521732516072621,-3450.56656082133
"8",0.122194509195427,0.0262484415717908,0.0309071097635392,0.0419781670914637,0.0369730263937797,0.0352287329942038,0.269830244847181,0.0853897850359033,0.00692908467434885,1.11986396516826,0.534234185937497,-3472.82688346208
"9",0.127090460944849,0.0234168426260118,0.0449044305824405,0.0115372658189676,0.0244903007362803,0.0421389098395323,0.274610157007073,0.086607478207552,0.00629324132696683,1.18380541183556,0.529463587139683,-3459.81029374416
"10",0.136782425817825,0.038536680471835,0.0408513993718676,0.0144060047117979,0.0214851774071812,0.0226158074893567,0.316093130799687,0.0951628167817039,0.00725863418661519,1.16572328200172,0.516301078879046,-3451.40127871284
"11",0.101081275183427,0.0682096914079628,0.0316378375811518,0.00061082225194571,0.0280540527634633,0.0542780919013216,0.268881484451232,0.0977133598035364,0.00548231707310946,1.20723824855645,0.526930078889632,-3464.21765693222
"12",0.10209313234325,0.0309735417274873,0.0352350342921337,0.0369020151706424,0.0494292831568958,0.0223266999914498,0.258940812945075,0.0776489233807776,0.00705603149882717,1.13497638242872,0.527105547472561,-3474.00948973641
