"alpha","beta","r[1]","r[2]","r[3]","r[4]","r[5]","sigma","sigma_r","lp__"
16.604684686818,0.00901369093349597,0.225157465149625,0.0902218815509566,-0.374537427771669,-0.776505594649726,-2.69853296987017,0.15740055309366,2.7184779521729,9.17100028287016
16.3633276761437,0.0108915511451675,0.141127747764458,0.236847030048832,-0.181449486677351,-0.531176466847229,-2.56968390047159,0.165443842506184,1.54925272891984,11.2067383220585
16.2825935148231,0.00985800493587468,0.399200803030642,0.286958543547402,-0.128561137192848,-0.492374486552021,-2.44091141147531,0.165401164913205,1.88279424325355,12.4793108694009
16.0535763889773,0.0115844688380832,0.489490491998354,0.518373662687721,0.10172295073102,-0.295219770681348,-2.24302099418272,0.168242610003784,0.93307518222445,9.78997038541466
15.4970603770388,0.011553749249891,0.948084712629491,0.977989156001943,0.603382194133363,0.119114053599447,-1.78669392328724,0.153060965820621,1.03747328535969,9.81611737499707
14.4048385215853,0.0114530054451264,2.14359181829028,2.01126079191317,1.56351518442736,1.35909840601622,-0.68880597545929,0.171193114562133,2.01790333322064,6.99151644054368
14.4648982368868,0.0104765601465646,2.08816207062489,2.10803436101507,1.69900512954747,1.16380635278988,-0.649384020716641,0.173053429678173,2.08197585790948,8.70296241020541
14.50520793986,0.00936358924367145,2.1488393818954,2.07925864380211,1.64853742918482,1.42920577137592,-0.676718634498023,0.170668413448335,1.98547406363704,9.05268479951471
15.9575209369962,0.00974276469108882,0.829431476836047,0.68819531164339,0.297168990363273,-0.211790735653089,-2.11967793130691,0.154854174139037,1.02777758345438,10.5350414790126
16.0259645411374,0.00881352057722185,0.647601179578998,0.750518909387567,0.251581113810347,0.00151297641678825,-2.10717030620051,0.153881977000193,1.12701135800469,10.0015680402598
15.9991115580115,0.00875136193768488,0.653175643565535,0.778458647794919,0.210494324223739,-0.0824811759488895,-2.14350753803749,0.153971601414269,1.14384802954958,10.0142873593921
15.5420767494466,0.0113996979539777,1.05840316826736,0.872713471477613,0.635881729038877,0.154624228940288,-1.66514186869873,0.174465435719635,0.874546961533224,8.06129212915433
15.5015693615018,0.0108123306845249,1.08613317254806,1.06960864040879,0.634473452357487,0.217119482446439,-1.75306556360975,0.172395645616781,0.90254030876513,12.3550392293507
16.4606556853365,0.00859633303650208,0.235851741973833,0.256016553714104,-0.162227830682768,-0.502073861164804,-2.46720360719264,0.168561797559634,2.50249502572772,10.4778785809779
16.4348984156346,0.00857693263672109,0.127296699763893,0.359624433065623,-0.14304806291629,-0.510275696668768,-2.50740468754146,0.16882086376689,2.41514246828839,6.57687683100845
15.9192281731478,0.0108117777835563,0.775049209354048,0.642509280591949,0.145147282105767,-0.101802645944048,-2.12064808633901,0.16938679353254,1.92646908016261,10.218276352445
15.38208830411,0.00919308690064366,1.30153219431627,1.28172749994051,1.05476016083889,0.557899776590893,-1.48390214989636,0.162306271528177,1.79251983651469,8.14757642659765
15.3758186014708,0.00911250343738836,1.30066580215909,1.29743807211441,1.02972887328915,0.55415668674823,-1.45894677897945,0.162379086250515,1.77667210884133,9.89692970982605
15.8898317058458,0.0100941629776891,0.765110973318394,0.721041760508336,0.170111942229618,-0.112670295346228,-2.00385528674903,0.134597748425511,1.18054879740952,11.5148519408742
15.8564637362657,0.0103562882503882,0.802391872836889,0.749141982052229,0.206333114459005,-0.074514759887577,-1.97281439223883,0.12893106104264,0.912994956990443,11.194184277407
15.7824909451528,0.00998360041610641,0.906412465823649,0.814320374459866,0.335141570234611,0.0318176359732037,-1.90371444931349,0.138235954792909,0.937812411384981,13.4588028877577
15.6822127194588,0.00868080368780356,0.96666415281376,1.02029125636171,0.651886479149157,0.228660797235359,-1.77366970154682,0.146567075757289,1.56295300509224,11.5836144560856
15.3158343370797,0.0115646075816179,1.22239978807575,1.22342286773559,0.705545543829517,0.425273344443473,-1.54916697804169,0.151266698242242,1.57520702892935,11.082598377978
15.5051885498882,0.00942506012172059,1.15431423581907,1.10422163947922,0.79948143270257,0.314911941043022,-1.63399456665607,0.179940577353865,1.60862925906358,11.8250354717091
15.5577039203191,0.00828781578292347,1.22032586822683,1.20276847973465,0.72558100253217,0.363481528495123,-1.56040320312042,0.177723786216487,1.24271758582475,10.9442374687646
15.3145183551574,0.010695699824821,1.28184612764036,1.24385893007994,0.83913754880802,0.462572674902226,-1.52937314317435,0.132720978352651,2.12430225089125,13.4119073374809
15.3226667430841,0.0106028851137042,1.37075760264306,1.27798857990734,0.743005262652516,0.473950177335217,-1.53005990248348,0.132746276753244,2.10578689945681,9.87869364922986
15.4937469485329,0.00972929034317165,1.21290694735903,1.15323969162932,0.647107679496857,0.34924589196497,-1.63493195117297,0.133928126273018,2.1732941960606,12.4626433825779
15.2839047165095,0.00989851708002695,1.26455857951448,1.31243662385982,0.95906335315082,0.500976363415654,-1.4219125726583,0.136193907568721,2.44373323025258,11.4390716343782
15.3572041408504,0.00878114926112373,1.4072609152392,1.28888197044723,0.827578896222179,0.526727607978416,-1.40429050338963,0.166244102935784,1.22141497503636,10.9796035258156
15.1975113086336,0.00988906610715431,1.51123403093083,1.38226165803051,0.904949636961686,0.600290678540979,-1.33657225673979,0.168835801732851,1.35910510753489,11.5777065174816
