"ID_LogUnit","PlotYr","t0","AreaLogUnit","AreaLogged","VolTot","LogInt","AGB0","MAP","RainSeas","BulkDens"
"PAT021","PAT021_1996",1996,295.14,6.52,106.906,16.3966257668712,320.085360666667,2696.33333333333,51,1.37
"PAT021","PAT021_1998",1998,295.14,15.71,257.375,16.3828771483132,320.085360666667,2696.33333333333,51,1.37
"PAT022","PAT022_1994",1994,264.63,132.5,1325,10,320.906399,2696,51,1.37
"PAT023","PAT023_1998",1998,290.48,140,210.068,1.50048571428571,313.47721715,2684,51.5,1.37
"PLA001","PLA001_1987",1987,142.82,71.5,715,10,362.772906,2478,40,1.21
"PLA002","PLA002_1981",1981,133.75,67,670,10,347.3476804,2481,41,1.21
"PLA003","PLA003_1981",1981,278.29,139,1390,10,333.810013133333,2477,41,1.21
"PLA004","PLA004_1981",1981,181.14,90.5,905,10,310.2514497,2492,41,1.21
"PLA005","PLA005_1982",1982,208.06,104,1040,10,310.5889617,2494,41,1.21
"PLA006","PLA006_1988",1988,255.6,128,1280,10,317.2850375,2493.33333333333,40,1.21
"PLA007","PLA007_1987",1987,233.87,117,1170,10,323.7347252,2489,40,1.21
"PLA008","PLA008_1982",1982,214.28,107,1070,10,314.5108283,2506,41.3333333333333,1.21
"PLA009","PLA009_1982",1982,263.62,132,1320,10,305.187828766667,2509,41,1.21
"PLA010","PLA010_1988",1988,413.43,206.5,2065,10,300.08859846,2510.85714285714,40.7142857142857,1.21
"PLA011","PLA011_1988",1988,304.35,152,1520,10,307.552255425,2501.66666666667,40,1.21
"PLA012","PLA012_1988",1988,266.66,133.5,1335,10,303.8292117,2517.33333333333,40,1.21
"PLA013","PLA013_2000",2000,441.32,45.33,936.87,20.6677696889477,338.216099325,2549,40,1.21
"PLA013","PLA013_2001",2001,441.32,91.84,1897.94,20.6657229965157,338.216099325,2549,40,1.21
"PLA013","PLA013_2003",2003,441.32,26.83,554.55,20.6690272083489,338.216099325,2549,40,1.21
"PLA014","PLA014_1999",1999,272.27,165,457.94,2.77539393939394,313.964432866667,2526.66666666667,40.6666666666667,1.21
"PLA015","PLA015_2000",2000,287.68,40.21,421.75,10.488684406864,328.1819018,2561,40,1.21
"PLA015","PLA015_2003",2003,287.68,133.79,1403.06,10.4870319156888,328.1819018,2561,40,1.21
"PLA017","PLA017_1999",1999,244.46,130,1782.02,13.7078461538462,348.9600435,2542.66666666667,40,1.21
"PLA018","PLA018_1983",1983,283.92,142,1420,10,302.177407325,2524.5,41.25,1.21
"PLA019","PLA019_1983",1983,277.58,139,1390,10,308.3370741,2533.5,41.75,1.21
"PLA020","PLA020_1983",1983,354.08,177,1770,10,317.3795181,2533.75,41,1.21
"PLA021","PLA021_2001",2001,282.89,138,1046.83,7.58572463768116,331.874882233333,2543.5,40.5,1.21
"PLA022","PLA022_2002",2002,286.43,118.2,1676.74,14.1856175972927,335.868497866667,2561,40,1.21
"PLA022","PLA022_2004",2004,286.43,38.8,550.49,14.1878865979381,335.868497866667,2561,40,1.21
"PLA023","PLA023_2002",2002,305.07,133,366.87,2.75842105263158,339.449281333333,2549.66666666667,41,1.21
"PLA024","PLA024_2003",2003,259.98,104.03,881.95,8.47784292992406,338.38491915,2570,40,1.21
"PLA024","PLA024_2006",2006,259.98,29.97,254.04,8.47647647647648,338.38491915,2570,40,1.21
"PLA027","PLA027_2005",2005,348.86,93.95,1070.04,11.3894624800426,332.80737035,2554.25,41,1.21
"PLA027","PLA027_2006",2006,348.86,65.05,740.96,11.3906225980015,332.80737035,2554.25,41,1.21
"PLA028","PLA028_2004",2004,258.95,48.34,589.96,12.2043856019859,325.80847365,2563.66666666667,41,1.21
"PLA028","PLA028_2005",2005,258.95,66.66,813.61,12.2053705370537,325.80847365,2563.66666666667,41,1.21
"PLA029","PLA029_2004",2004,335.44,144,1870.77,12.9914583333333,340.305585533333,2570,40.5,1.21
"PLA030","PLA030_2003",2003,224.76,61.25,720.99,11.7712653061224,340.461238566667,2561.5,40.5,1.21
"PLA030","PLA030_2004",2004,224.76,40.75,479.64,11.7703067484663,340.461238566667,2561.5,40.5,1.21
"POR001","POR001_2005",2005,416.02,96.25,1974.57,20.515012987013,271.7609518,2546.2,36,1.4
"POR001","POR001_2006",2006,416.02,3.75,76.85,20.4933333333333,271.7609518,2546.2,36,1.4
"POR002","POR002_1988",1988,566.96,283.5,1701,6,279.7912403,2537.125,36,1.29
"POR004","POR004_1984",1984,452.66,226.5,1359,6,290.57889762,2548,36,1.29
"POR005","POR005_1984",1984,292.17,146,876,6,292.1946901,2543.5,36,1.29
"POR007","POR007_1989",1989,433.96,217,1302,6,303.12907914,2528.4,36,1.29
"POR008","POR008_1987",1987,419.13,209.5,1257,6,291.396077325,2545.8,36,1.29
"POR009","POR009_1988",1988,354.1,177,1062,6,309.980311133333,2540.33333333333,36,1.29
"POR010","POR010_1989",1989,351.85,176,1056,6,301.39658265,2528,36.25,1.29
"POR011","POR011_1989",1989,311.63,156,936,6,307.91405115,2536.75,36,1.29
"POR012","POR012_1998",1998,361.77,168,795.405,4.73455357142857,309.469876575,2528.75,36.25,1.29
"POR013","POR013_1990",1990,273.96,137,822,6,309.360840666667,2521.66666666667,37,1.29
"POR014","POR014_1990",1990,326.19,163,978,6,316.068063866667,2544,36,1.29
"POR018","POR018_1998",1998,525.33,251,971.443,3.87029083665339,298.318548114286,2556.33333333333,36,1.29
"POR019","POR019_1985",1985,348.3,174,1044,6,301.325549633333,2551.4,36,1.29
"POR020","POR020_1988",1988,287.43,143.5,861,6,304.920154333333,2545,36,1.29
"POR021","POR021_1983",1983,323.94,162,972,6,302.713331766667,2554.5,35.75,1.29
"POR022","POR022_1982",1982,318.95,159.5,957,6,296.77937135,2559.5,35.75,1.29
"POR023","POR023_1985",1985,399.73,200,1200,6,296.13557554,2559.25,35.75,1.29
"POR024","POR024_1982",1982,451.68,226,1356,6,305.2462305,2562.85714285714,35.4285714285714,1.29
"POR025","POR025_1981",1981,381.07,190.5,1143,6,301.49150625,2569,35,1.29
"POR026","POR026_1981",1981,388.33,194,1164,6,311.039176575,2565.25,35.25,1.29
"POR027","POR027_1983",1983,570.39,285,1710,6,304.232368,2558.71428571429,35.2857142857143,1.29
"POR028","POR028_1984",1984,386.64,193.5,1161,6,279.62199508,2553.25,35.75,1.29
"RAP225","RAP225_2014",2014,313.42,54.25,967.8,17.8396313364055,331.046198766667,3488.33333333333,54,1.21
"RAP226","RAP226_2017",2017,345.1,151,2434.68,16.1237086092715,335.35440875,3502.33333333333,54,1.21
"RAP232","RAP232_2017",2017,278.93,154,3427.78,22.2583116883117,320.6562467,3468.66666666667,55,1.21
"RAP233","RAP233_2017",2017,289.16,191,3373.33,17.6614136125654,323.446682825,3480,54.6666666666667,1.21
"RAP234","RAP234_2014",2014,196.67,14,315.29,22.5207142857143,367.507533,3476.33333333333,54.6666666666667,1.21
"RFE010","RFE010_2005",2005,383.22,158,1569.7,9.93481012658228,324.562827175,3636.5,46,1.43
"RFE012","RFE012_2010",2010,235.73,6.94,125.54,18.0893371757925,346.5940759,3629,46,1.43
"RFE012","RFE012_2011",2011,235.73,51.23,926.83,18.09154792114,346.5940759,3629,46,1.43
"RFE012","RFE012_2012",2012,235.73,29.39,531.81,18.0949302483838,346.5940759,3629,46,1.43
"RFE012","RFE012_2013",2013,235.73,15.01,271.57,18.0926049300466,346.5940759,3629,46,1.43
"RFE012","RFE012_2014",2014,235.73,16.43,297.19,18.0882531953743,346.5940759,3629,46,1.43
"RFE013","RFE013_2017",2017,307.55,216.56,2815.43,13.0006926486886,320.914930666667,3622.66666666667,46,1.43
"RFE013","RFE013_2018",2018,307.55,26.44,343.79,13.0026475037821,320.914930666667,3622.66666666667,46,1.43
"RFE018","RFE018_2011",2011,400.05,226,3669.3,16.2358407079646,308.600256466667,3616.5,46,1.43
"RFE019","RFE019_2011",2011,362.27,217,4960.36,22.858801843318,341.489333333333,3608.66666666667,46,1.43
"RFE020","RFE020_2006",2006,185.61,106,1777.52,16.7690566037736,303.719101,3610.33333333333,46,1.43
"RFE020","RFE020_2007",2007,185.61,29,486.33,16.77,303.719101,3610.33333333333,46,1.43
"RFE021","RFE021_2007",2007,148.13,34.53,703.78,20.3816970750072,303.5295607,3619.5,46,1.43
"RFE021","RFE021_2008",2008,148.13,37.16,757.26,20.3783638320775,303.5295607,3619.5,46,1.43
"RFE021","RFE021_2009",2009,148.13,23.31,475.09,20.3813813813814,303.5295607,3619.5,46,1.43
"RFE022","RFE022_2005",2005,271.57,58.83,1134.57,19.2855685874554,333.246777175,3619.5,46,1.43
"RFE022","RFE022_2006",2006,271.57,77.1,1487.07,19.2875486381323,333.246777175,3619.5,46,1.43
"RFE022","RFE022_2007",2007,271.57,20.07,387.11,19.2879920279023,333.246777175,3619.5,46,1.43
"RFE023","RFE023_2007",2007,374.92,91.11,1625.35,17.839424871035,332.5471395,3632.2,46,1.43
"RFE023","RFE023_2009",2009,374.92,105.89,1889,17.8392671640382,332.5471395,3632.2,46,1.43
"RFE024","RFE024_2004",2004,277,173,2799.51,16.1821387283237,340.3642478,3620,46,1.43
"RFE025","RFE025_2005",2005,175.54,98.23,2530.51,25.7610709559198,343.69006685,3609.5,46,1.43
"RFE025","RFE025_2007",2007,175.54,7.77,200.16,25.7606177606178,343.69006685,3609.5,46,1.43
"RFE026","RFE026_2004",2004,412.56,178.74,3273.91,18.3166051247622,341.655025,3602.4,46,1.43
"RFE026","RFE026_2005",2005,412.56,38.8,710.63,18.315206185567,341.655025,3602.4,46,1.43
"RFE026","RFE026_2006",2006,412.56,0.46,8.38,18.2173913043478,341.655025,3602.4,46,1.43
"RFE027","RFE027_2005",2005,525.52,275.05,2924.86,10.6339211052536,322.606818716667,3597.6,46,1.43
"RFE027","RFE027_2006",2006,525.52,27.95,297.17,10.6322003577818,322.606818716667,3597.6,46,1.43
"RFE028","RFE028_2006",2006,371.84,140,683.46,4.88185714285714,321.13618285,3587.2,46.6,1.43
"RFE035","RFE035_2008",2008,407.22,88.62,2759.96,31.1437598736177,330.1717876,3565.75,47,1.44
"RFE035","RFE035_2009",2009,407.22,126.38,3936.11,31.1450387719576,330.1717876,3565.75,47,1.44
"RFE036","RFE036_2009",2009,457.07,24.41,275.27,11.2769356820975,331.877076433333,3584.33333333333,47,1.43
"RFE036","RFE036_2010",2010,457.07,38.34,432.33,11.2762128325509,331.877076433333,3584.33333333333,47,1.43
"RFE036","RFE036_2011",2011,457.07,103.67,1168.92,11.2753930741777,331.877076433333,3584.33333333333,47,1.43
"RFE036","RFE036_2012",2012,457.07,82.57,930.97,11.2749182511808,331.877076433333,3584.33333333333,47,1.43
"RFE037","RFE037_2007",2007,222.14,138,1838.04,13.3191304347826,304.73569465,3557,47,1.44
"RFE038","RFE038_2010",2010,443.9,258,5466.88,21.1894573643411,326.71231225,3570,46.4,1.44
"RFE039","RFE039_2008",2008,580.88,338.7,11176.59,32.9984942426927,339.585859,3554.83333333333,46.5,1.44
"RFE039","RFE039_2009",2009,580.88,15.3,504.82,32.9947712418301,339.585859,3554.83333333333,46.5,1.44
"RFE040","RFE040_2006",2006,311.43,110,2237.03,20.3366363636364,344.14472865,3582.2,46,1.43
"RFE041","RFE041_2015",2015,344.33,174,3608.5,20.7385057471264,344.812466433333,3572,46,1.44
"RFE042","RFE042_2004",2004,238.53,167,2389.45,14.3080838323353,322.01546585,3590.66666666667,46,1.43
"RFE043","RFE043_2010",2010,265.65,178,3405.19,19.1302808988764,337.080282133333,3574,46,1.44
"RFE044","RFE044_2007",2007,248,171.61,3471.64,20.2298234368627,338.302398866667,3589,46,1.43
"RFE044","RFE044_2008",2008,248,1.44,29.18,20.2638888888889,338.302398866667,3589,46,1.43
"RFE044","RFE044_2009",2009,248,13.95,282.11,20.2229390681004,338.302398866667,3589,46,1.43
"RFE045","RFE045_2007",2007,254.61,126.47,2340.57,18.5069186368309,337.868253766667,3571.25,46,1.44
"RFE045","RFE045_2008",2008,254.61,17.68,327.3,18.512443438914,337.868253766667,3571.25,46,1.44
"RFE045","RFE045_2009",2009,254.61,34.85,644.98,18.5073170731707,337.868253766667,3571.25,46,1.44
"RFE046","RFE046_2008",2008,219.87,11.05,340.09,30.7773755656109,366.7215133,3563.5,46,1.44
"RFE046","RFE046_2009",2009,219.87,38.95,1198.3,30.7650834403081,366.7215133,3563.5,46,1.44
"RFE047","RFE047_2006",2006,456.61,230.84,6157.32,26.6735401143649,347.880884075,3610.8,46,1.43
"RFE047","RFE047_2007",2007,456.61,10.16,271.01,26.6742125984252,347.880884075,3610.8,46,1.43
"RFE048","RFE048_2008",2008,226.06,128,1083.01,8.461015625,327.811757,3581.33333333333,46,1.43
