"ID_Plant","AreaPlant","AGB0","YearLogged","AreaTot","AreaLogged","code_parcOLD"
"CDF015s2",78.2688766114181,305.6780195,2000,398.57596,170,"CDF015"
"CDF016s1",116.942909760589,314.183706233333,2001,465.10673,254,"CDF016"
"CDF016s2",116.942909760589,314.183706233333,2001,465.10673,254,"CDF016"
"CDF017s1",93.9226519337017,322.1569882,2012,245.07317,102,"CDF017"
"CFR005s1",111.418047882136,328.4344292,2005,198.73021,121,"CFR005"
"CFR006s1",149.171270718232,319.955724,2005,267.97261,162,"CFR006"
"CFR007s1",117.863720073665,324.2313,2005,284.42603,128,"CFR007"
"CFR010s1",115.101289134438,315.5134897,2005,210.06734,125,"CFR010"
"CFR011s1",116.942909760589,331.26205465,2005,207.88925,127,"CFR011"
"CFR012s1",132.596685082873,324.235682666667,2004,216.18786,144,"CFR012"
"CFR025s1",116.022099447514,331.972047975,2009,433.83127,252,"CFR025"
"CFR025s2",116.022099447514,331.972047975,2009,433.83127,252,"CFR025"
"CMA004s1",91.6206261510129,308.8963096,2007,516.36055,199,"CMA004"
"CMA004s2",91.6206261510129,308.8963096,2007,516.36055,199,"CMA004"
"CMG008s1",82.8729281767956,284.514245466667,2009,299.81032,180,"CMG008"
"CMG008s2",82.8729281767956,284.514245466667,2009,299.81032,180,"CMG008"
"CNI002s1",83.7937384898711,332.256688175,2002,414.68907,273,"CNI002"
"CNI002s2",83.7937384898711,332.256688175,2002,414.68907,273,"CNI002"
"CNI002s3",83.7937384898711,332.256688175,2002,414.68907,273,"CNI002"
"CNI006s1",82.8729281767956,311.6874622,2000,145.58387,90,"CNI006"
"CNI008s1",84.1006752608963,301.959786866667,2004,372.29432,274,"CNI008"
"CNI008s2",84.1006752608963,301.959786866667,2004,372.29432,274,"CNI008"
"CNI008s3",84.1006752608963,301.959786866667,2004,372.29432,274,"CNI008"
"CNI012s1",82.8729281767956,309.8274237,2014,91.97041,90,"CNI012"
"CNI013s1",94.3830570902394,321.063379925,2013,427.84763,410,"CNI013"
"CNI013s2",94.3830570902394,321.063379925,2013,427.84763,410,"CNI013"
"CNI013s3",94.3830570902394,321.063379925,2013,427.84763,410,"CNI013"
"CNI013s4",94.3830570902394,321.063379925,2013,427.84763,410,"CNI013"
"COE003s1",75.9668508287293,304.07212575,1998,302.94254,165,"COE003"
"COE003s2",75.9668508287293,304.07212575,1998,302.94254,165,"COE003"
"COE004s1",110.497237569061,323.195145566667,1999,228.7941,120,"COE004"
"COE005s1",105.893186003683,319.08562685,1997,211.32747,115,"COE005"
"COE007s1",59.8526703499079,323.2712731,1998,228.88606,65,"COE007"
"COE008s1",92.0810313075506,317.63937215,1999,266.30447,100,"COE008"
"COE014s1",80.1104972375691,310.748899,2000,208.12436,87,"COE014"
"COO003s1",124.309392265193,310.191606775,2000,79.74406,135,"COO003"
"COO004s1",101.289134438306,315.1632345,2000,313.46706,220,"COO004"
"COO004s2",101.289134438306,315.1632345,2000,313.46706,220,"COO004"
"COO006s1",96.6850828729282,335.9083237,2000,220.70008,105,"COO006"
"COO007s1",87.4769797421731,330.0926075,2003,183.92215,95,"COO007"
"COR001s1",124.079189686924,282.109216166667,1993,539.04899,269.5,"COR001"
"COR001s2",124.079189686924,282.109216166667,1993,539.04899,269.5,"COR001"
"COR004s1",81.4917127071823,281.21016825,1993,354.1101,177,"COR004"
"COR004s2",81.4917127071823,281.21016825,1993,354.1101,177,"COR004"
"COR005s1",143.186003683241,289.145565633333,1994,310.87439,155.5,"COR005"
"COR006s1",95.7642725598527,281.24310475,1992,415.74632,208,"COR006"
"COR006s2",95.7642725598527,281.24310475,1992,415.74632,208,"COR006"
"COR007s1",93.4622467771639,288.8387027,1991,202.94364,101.5,"COR007"
"COR008s1",84.9447513812155,292.1530565,1991,369.41659,184.5,"COR008"
"COR008s2",84.9447513812155,292.1530565,1991,369.41659,184.5,"COR008"
"COR009s1",87.0165745856354,286.1377032,1992,378.14869,189,"COR009"
"COR009s2",87.0165745856354,286.1377032,1992,378.14869,189,"COR009"
"COR012s1",116.942909760589,321.885140075,1990,253.51789,127,"COR012"
"COR015s1",78.9594843462247,318.6449405,1990,342.50421,171.5,"COR015"
"COR015s2",78.9594843462247,318.6449405,1990,342.50421,171.5,"COR015"
"COR016s1",79.8802946593002,306.3525999,1990,347.05841,173.5,"COR016"
"COR016s2",79.8802946593002,306.3525999,1990,347.05841,173.5,"COR016"
"COR017s1",96.2246777163904,316.563967825,1990,418.19649,209,"COR017"
"COR017s2",96.2246777163904,316.563967825,1990,418.19649,209,"COR017"
"COR018s1",96.2246777163904,309.8980073,1990,208.58217,104.5,"COR018"
"COR019s1",72.2836095764273,320.8617333,1990,157.38195,78.5,"COR019"
"COR020s1",103.130755064457,301.305013,1974,224.40507,112,"COR020"
"COR021s1",122.467771639042,324.09527545,1974,532.3313,266,"COR021"
"COR021s2",122.467771639042,324.09527545,1974,532.3313,266,"COR021"
"COR022s1",80.3406998158379,320.9884541,1974,349.15115,174.5,"COR022"
"COR022s2",80.3406998158379,320.9884541,1974,349.15115,174.5,"COR022"
"COU001s1",126.151012891344,320.0292047,1993,274.38136,137,"COU001"
"COU002s1",79.6500920810313,299.3940093,1993,172.74648,86.5,"COU002"
"COU003s1",115.101289134438,326.664215433333,2000,243.70746,125,"COU003"
"COU004s1",131.675874769797,329.5060395,1995,278.69,143,"COU004"
"COU005s1",133.517495395948,330.7185243,1998,202.83401,145,"COU005"
"COU007s1",69.9815837937385,310.155481,1996,123.5677,76,"COU007"
"COU008s1",69.060773480663,316.179893,1997,123.38608,75,"COU008"
"COU009s1",114.180478821363,337.293566,1997,199.92976,124,"COU009"
"COU010s1",78.2688766114181,305.6866103,1999,149.77722,85,"COU010"
"COU011s1",101.289134438306,320.5331107,1999,207.75858,110,"COU011"
"COU012s1",105.893186003683,302.2814805,1999,203.69093,115,"COU012"
"COU013s1",73.6648250460405,318.671911,2000,124.3178,80,"COU013"
"COU014s1",110.497237569061,303.8264613,2000,202.96716,120,"COU014"
"COU032s1",69.9815837937385,315.1095453,2004,144.30638,76,"COU032"
"COU034s1",86.5561694290976,328.00110515,2005,165.58256,94,"COU034"
"COU037s1",69.9815837937385,305.3789887,2005,159.03241,76,"COU037"
"COU039s1",90.2394106813996,319.79202665,2003,181.4967,98,"COU039"
"COU040s1",73.6648250460405,321.5789908,2003,122.0247,80,"COU040"
"COU041s1",69.060773480663,336.182173,2003,128.33662,75,"COU041"
"COU043s1",83.7937384898711,328.41431522,2005,129.11602,91,"COU043"
"COU047s1",87.9373848987109,326.4278587,1980,190.59769,95.5,"COU047"
"COU048s1",110.957642725599,320.0530749,1980,241.0713,120.5,"COU048"
"COU051s1",82.8729281767956,313.717692,2003,146.19289,90,"COU051"
"COU052s1",87.4769797421731,332.97352735,2003,137.03508,95,"COU052"
"CRB001s1",139.226519337017,318.653018175,2009,228.52607,151.2,"CRB001"
"CRI001s1",133.057090239411,308.16249,1987,288.68787,144.5,"CRI001"
"CRI006s1",112.338858195212,303.673320033333,1980,244.28182,122,"CRI006"
"CRI007s1",119.244935543278,288.618012,1980,258.74259,129.5,"CRI007"
"CRI008s1",143.186003683241,310.271257366667,1980,310.83594,155.5,"CRI008"
"CRI010s1",109.116022099448,295.70527685,1979,236.83734,118.5,"CRI010"
"CRI011s1",74.585635359116,331.5646367,1987,161.54932,81,"CRI011"
"CRI012s1",65.8379373848987,326.81857335,1987,142.89422,71.5,"CRI012"
"CRI013s1",111.878453038674,321.511962566667,1987,242.61606,121.5,"CRI013"
"CRI014s1",126.151012891344,314.400535766667,1987,273.76447,137,"CRI014"
"CRI015s1",90.9300184162063,324.107875175,1987,394.90396,197.5,"CRI015"
"CRI015s2",90.9300184162063,324.107875175,1987,394.90396,197.5,"CRI015"
"CRI017s1",89.3186003683241,300.0105282,1979,388.18149,194,"CRI017"
"CRI017s2",89.3186003683241,300.0105282,1979,388.18149,194,"CRI017"
"CRI018s1",96.6850828729282,296.5635865,1978,209.94314,105,"CRI018"
"CRI019s1",92.5414364640884,302.2376345,1978,200.93402,100.5,"CRI019"
"CRI020s1",109.116022099448,295.2372711,1978,237.40761,118.5,"CRI020"
"CRI021s1",95.7642725598527,298.73108835,1978,208.1711,104,"CRI021"
"CRI022s1",139.042357274401,289.745216766667,1981,301.921,151,"CRI022"
"CRI023s1",85.1749539594843,321.67671135,1977,184.7969,92.5,"CRI023"
"CRI026s1",121.086556169429,323.7467212,1977,263.39926,131.5,"CRI026"
"CRI032s1",146.961325966851,285.9195881,2005,266.12515,159.6,"CRI032"
"CRI033s1",129.834254143646,281.7652093,2005,234.50003,141,"CRI033"
"CRI035s1",99.4475138121547,277.597194866667,2003,236.7119,108,"CRI035"
"CRL005s1",58.195211786372,307.895008925,2017,487.92773,63.2,"CRL005"
"CRL007s1",83.609576427256,329.118889775,2017,458.42765,181.6,"CRL007"
"CRL007s2",83.609576427256,329.118889775,2017,458.42765,181.6,"CRL007"
"CSA001s1",78.7292817679558,312.4969307,1993,171.05768,85.5,"CSA001"
