"iter","gamma","phi","lp__","C"
1,0.551910890695026,43.0193982694081,159.317866929875,0.0227172573754822
2,0.531981363348232,49.5209630417865,165.155386085846,0.0197937636139851
3,0.523575961942476,54.202620007339,170.004786999734,0.0181150822165153
4,0.552139808949674,31.8608612952757,159.098574043523,0.0304313386984706
5,0.534468617489253,40.4513106996155,170.124210111518,0.0241246895000904
6,0.556543902560876,31.0552648089171,153.828438626223,0.0311961235061087
7,0.544517649946026,38.3354210392789,155.416500900454,0.0254223794630655
8,0.536527762614845,35.9134362369632,161.845137761368,0.027090406690414
9,0.523944932339872,31.2514871774275,149.612320696367,0.0310063221115549
10,0.545954829025073,37.1341286777081,151.972946347605,0.0262232292876424
11,0.546842306177176,39.4162021816306,162.069219214686,0.0247425523928744
12,0.528709551273725,45.0085612488466,158.675707746206,0.0217350852288403
13,0.534867917953579,37.7478591797281,156.317340815479,0.0258078774200556
14,0.530213909960249,42.4713254562585,156.841259360272,0.0230036694189648
15,0.554482226880971,36.1018431164343,159.967684230578,0.0269528388889405
16,0.542015267102541,31.6515253016481,151.444403586918,0.0306264405953962
17,0.531401880858091,33.6333808660561,154.98728239887,0.0288738775999802
18,0.545550056178854,32.8665888268097,162.464623758652,0.0295276269220351
19,0.558104844355281,42.7051046179956,156.507084093417,0.022880622498001
20,0.528450343484336,30.9348660842938,157.094970507546,0.0313137370722159
21,0.536498173796026,35.5879706224141,159.175730906739,0.0273313874201974
22,0.550864086751449,34.5898390165001,160.199586615694,0.0280979073700328
23,0.544939482619434,35.7204027599536,159.345927819136,0.0272328167677555
24,0.556066125527543,26.1046236353463,145.819668864751,0.0368940743636053
25,0.535864367600454,30.8204547871695,156.68853992848,0.0314263264522295
26,0.541371922072385,31.7910153128811,157.444966463944,0.0304961584890961
27,0.540538564181724,56.3057640185812,158.23469471718,0.0174502515955594
28,0.532740101015365,41.668309196317,157.412023519441,0.0234365977662484
29,0.544538702697306,41.9256574531812,158.905052398113,0.0232960904813327
