"theta_1","sigma","lp__"
8.99612917110512,0.19447335781902,8.16371230698033
8.07520814035886,0.0831426295928498,6.56183739679939
8.46013679524281,0.174516057455662,9.18143463256762
8.42244810399102,0.120292217282697,9.23421904590538
7.60462201146454,0.16156492831311,8.67905585729843
8.30001169131717,0.156408180105701,9.48562326492446
8.18384511289436,0.162863524325362,9.44024758499364
8.11130251987772,0.139158509177277,9.55019072379929
8.58463931260731,0.172737903378021,9.07194381031051
8.59993472008122,0.207204382157442,8.55344847475767
7.8677217672524,0.154652225126669,9.25794877793112
7.73260561504496,0.128660610189018,8.74799664676873
8.80098020545939,0.287076069596461,6.97947013667855
9.11191602765623,0.144921861471874,7.74911882940859
8.4561867612628,0.191732153023251,8.92949030426074
7.65999929485067,0.157125107441076,8.82417833729995
8.64144442199197,0.151792036638647,9.13350276066786
7.39582022034585,0.153145559901591,7.90860081927383
7.85868622665506,0.176158629806659,9.06547177534924
9.06002480335367,0.161850602290643,8.12984362328213
8.28800779108713,0.167437188205768,9.37421169194183
8.22666420318986,0.147562245380082,9.56155501695618
8.77763594626637,0.180873088555939,8.69825821286533
8.28485827839376,0.295296221025002,7.06688117982401
7.97773066269139,0.155812106306563,9.39421825950253
7.20961672383064,0.181465933366247,7.42633396560765
8.5790273048403,0.189320410424496,8.85900105195593
8.67634306151797,0.232853735024144,8.03921489469257
8.14744906958772,0.126124062809059,9.47271624476901
7.90781649537462,0.134663192922044,9.28892494624457
8.24717856585064,0.120003127716999,9.3753631811648
8.80472346632706,0.232103101085126,7.92461024871427
7.87846517597269,0.0902651328382878,6.89627362108522
8.562538502398,0.142635312891489,9.27030528731907
6.85888752011897,0.326116903469139,5.54890103468452
7.9529663257989,0.126079015318862,9.25709860067376
7.86703891634354,0.226381828209651,8.28403218196805
7.69754910323155,0.199384447158397,8.54747375464752
8.23366691796854,0.108926498535235,9.02598746975242
8.46579692193739,0.165560900026453,9.28286008178553
8.08363341754724,0.129938865586299,9.47864694631155
9.12427701242188,0.14707309739176,7.74582173008123
8.27550976182443,0.146753718542931,9.55486669632019
8.03524360079002,0.206026538540491,8.7415534363004
7.76184635129071,0.0926261624162598,6.57711931591812
8.1256924945521,0.140033288494832,9.55847218005897
8.00552018156127,0.122640314245417,9.27734794729931
8.6297725793664,0.151282543911403,9.15542940473532
9.55898046441833,0.132982596091676,4.97126302566902
8.00684071716897,0.201608565402977,8.80655621692342
7.23632808916591,0.188438705377393,7.54190192112168
8.88073612266113,0.143214395465096,8.51685011106104
8.09435030257919,0.159005747916193,9.45508381351901
7.48629537947693,0.151428650694455,8.24668957478486
7.51016001403763,0.171783490510461,8.40778691682405
8.21015288648313,0.233520090272291,8.25241333212852
8.1874182152445,0.132959312953627,9.55256476810269
7.13007956038832,0.214697305077487,7.1510582385086
8.09387062546719,0.124835884947812,9.41981297991012
8.33690155473356,0.14878502451551,9.51804561718687
7.59623918203809,0.20671197020207,8.29263841487963
7.85679347057368,0.155240577606224,9.23812257104512
8.28829245207132,0.168506769023948,9.36082873004145
7.52552393634433,0.141929467935015,8.25735613191164
7.5584162220231,0.179574641376637,8.4979442944972
8.52484824231352,0.158079262255414,9.28409257375076
9.58265795744502,0.38609278172637,4.83064843427156
8.24807241394395,0.172529388230632,9.31751026360957
8.58203373037997,0.152503688049035,9.23255857867701
9.23557436521849,0.27697424067015,6.70957232204201
8.21351870641784,0.107763940121135,8.97533449584765
8.168684001089,0.135130616981216,9.56073466580574
9.02971188395688,0.267341957105207,7.09898110950974
8.15781820616713,0.120998256795737,9.38870371257832
7.52639187337867,0.167124469237026,8.45939176631473
6.92033625648577,0.180950198192079,6.11272258906952
7.92929176348271,0.160317681818405,9.30839738589445
8.51014177979676,0.0968272949190892,7.84574725207959
8.879342474201,0.157842017746942,8.61208431584034
7.80840728428559,0.111670647096114,8.40680914618638
7.56862535806508,0.128290307790036,8.09034048718794
7.38521050651131,0.165960956941488,7.99755023906334
8.39652329777509,0.152715868942586,9.45437658510323
8.38645334841983,0.187251368690867,9.04581293691999
7.16721686029223,0.199096128514677,7.30850085019192
8.53387660238302,0.208651531603452,8.58548141161012
7.8434751007053,0.159521236705176,9.19537554954993
7.67260280650794,0.172296271487535,8.79873529273585
8.45111205709118,0.161160973829322,9.34037919554992
8.28509878820878,0.264899360173927,7.63905543002345
7.80324314076322,0.179799617139883,8.95021550099943
8.41234985175682,0.344343537653635,6.16800658173604
8.12163483440885,0.149079492578823,9.53757517836222
8.63493399575009,0.125096275178957,8.91134005143526
8.34750865207315,0.133643978989607,9.50556245362737
8.13541914542525,0.139590081133209,9.56221920035857
8.46383590055788,0.182622053777295,9.06515804435233
9.42024572319137,0.121511046670031,4.95060821587229
7.79522843288798,0.116719294197581,8.58830181146122
8.07318976247504,0.172096582049501,9.29788058275462
8.50904548170393,0.135034538638135,9.32130069374268
8.07332954687958,0.190157745526713,9.02860837420032
7.72505344186771,0.156440288357961,8.98069606013823
8.08887836133275,0.155466557853154,9.48217397564312
8.2337234964757,0.14203003101459,9.57567447388328
8.43626958301094,0.144634880920193,9.44724653867461
7.85666184302503,0.12020923031905,8.90121203481507
8.13404964454535,0.121264971176917,9.38250368583429
7.65372869140391,0.235948198364992,7.9280429139041
7.8313344798978,0.170518967548791,9.09009673012154
7.90392571553589,0.130183445457757,9.22912285529537
7.40847607505084,0.130854088539974,7.3633798157881
7.21245233710153,0.165615615600156,7.28638562307732
9.40633626764295,0.128910015776569,5.62987552485543
8.00556044199634,0.213584796063897,8.59331940322107
8.28453515689518,0.106818690530928,8.91053770226778
7.33308803403694,0.299409611812896,6.56187722336064
7.74963715435178,0.174114738453646,8.9282481130472
7.9267153552955,0.167339451336319,9.24185862105004
9.31644163918102,0.176213512326799,7.42116065274258
8.08670237458659,0.132935636852785,9.50730483599609
8.37419509883849,0.13384736986276,9.48429837133898
9.63165676653494,0.167746634899156,6.1564376000845
8.04098495430995,0.096011842707463,8.04732167476569
7.63286282655573,0.156422033690713,8.75181596891137
8.38810647886016,0.131732337940038,9.45490342358315
8.62326477240737,0.143570860146912,9.16228480461714
9.44943613332197,0.248140121690855,6.75938940710009
8.72514414686183,0.180244292129814,8.78961758665229
7.70204862754197,0.155984297772608,8.9279380574734
8.03578838685603,0.17520264864161,9.23702325728453
8.16286569814877,0.0854731146604769,7.04797761729508
8.38320156865538,0.0897980398666048,7.45352062653378
8.580623781971,0.105419356028038,8.27139533003091
7.58413148656744,0.132033028458597,8.273773198052
8.21841565163203,0.188969425327083,9.06958170064381
8.66557835072944,0.164460407717846,9.03253231720963
8.37801861571473,0.128609575954022,9.43325862007494
7.69333287109801,0.13844185426657,8.80030164256207
8.51669159133259,0.134755663082578,9.30660061333506
8.79152033099222,0.127050370355169,8.49235449061906
8.40018333711841,0.111573310115963,8.99573270070988
8.846519939737,0.170659520907074,8.65411656816715
7.77697215453355,0.187221671667982,8.82207192888998
7.8588061314721,0.172735514955355,9.10439798585411
8.49400551579538,0.304107064897402,6.84861003403202
7.65167406305993,0.138215365019796,8.66190828500534
8.63377106184917,0.136425357137377,9.09530228227731
8.31664054632179,0.236183438544366,8.18418808654044
7.87780210276689,0.162168372295113,9.22831031012781
7.62205895216923,0.155493708033438,8.71986002316781
8.04554976042839,0.175802322366502,9.2342834753179
7.34463328637624,0.237288567293919,7.45701409191426
8.03871408166049,0.22326471450269,8.42710740559437
8.20529838019343,0.240488420671459,8.11841928523143
8.01350983938179,0.0960947646483348,7.99311344266813
9.7488172946356,0.189612027662171,6.10527978745446
7.81698138219579,0.12362997575479,8.88560694460095
7.8232855345846,0.109722547709287,8.3586202620412
8.63159014147747,0.249707300242266,7.77158100068843
9.11659042417308,0.166133080970799,7.98178354737328
8.4070027920663,0.113473566399809,9.05668886242004
10.0239962655295,0.431061523089052,3.90637379835798
8.16373998688558,0.199302029048027,8.89158917937665
7.96839530847868,0.205733740194844,8.71442581953829
7.7936386071613,0.158860397608389,9.11345565736604
8.83740261660468,0.161044084746856,8.71142065957269
8.27550250990535,0.112991442303677,9.1698444277472
8.17071394214412,0.146011098691125,9.56486723415301
8.19462675889789,0.130392746520274,9.53387844761238
7.43338426648073,0.252039252840509,7.39805276096153
8.1278447664964,0.168199381080483,9.36783726299633
8.30969732190905,0.129959223446129,9.50218356155416
7.91362592774854,0.162281711950299,9.27386188672108
9.3198886749814,0.182262878040282,7.43354138396882
8.75400312021666,0.142923188712527,8.86644530777656
8.04882424561813,0.155139926146164,9.46018608563872
8.96867102705409,0.167343682363464,8.38709457251895
7.88999134523547,0.0879387885647939,6.63418603622824
8.383115001521,0.11694671601222,9.19991087799694
8.75491135696749,0.186274156644377,8.67374913474884
8.50100199342785,0.172821330634089,9.16521956740022
8.19252848040792,0.141116516567132,9.57693340710506
8.42073180027304,0.161351537660665,9.36569971926853
8.55547281304596,0.118950379933597,8.9462528867052
7.58863616810786,0.290141141920059,6.95638262638402
7.74116610401286,0.113163166848465,8.21811140856811
7.77627423430979,0.185776463183629,8.83967458814857
9.08715774926942,0.120151535440315,6.90581922218786
8.46759259213324,0.118339971090065,9.11096555397053
7.50833185939193,0.362717539912278,5.73314600202328
8.84937783101577,0.215941651464768,8.12824789277305
7.35479235449554,0.225535017713984,7.61758119911343
8.24024511197115,0.139788710885189,9.57507575135022
7.90307366244083,0.142604787646434,9.32662458918064
8.19376756901661,0.108855371771402,9.02171508607383
8.66969227510443,0.127081318830775,8.86369878873459
7.46800782918932,0.157137851173384,8.23537255805142
8.20180505745928,0.107446278163037,8.95957559587231
8.34103173081352,0.176397283770953,9.23388844138052
8.36575570576153,0.154723774090701,9.46379028503323
7.16052961826045,0.172046809575698,7.14022684719683
7.7649353651745,0.212288634724715,8.43660616379892
8.05642885202898,0.138071260130882,9.50901490288579
8.884637669341,0.185995418745277,8.45765691262521
8.4530787068003,0.131197808450747,9.37130679729498
8.44693820217366,0.144366529039329,9.43563155079446
7.69923328054356,0.148730831068425,8.90693250811291
8.54954778034369,0.352998343147878,5.98100472514117
9.22856915826986,0.174658237269089,7.6811879388428
8.08980382929377,0.179407978339112,9.20266484230703
7.97676035084034,0.107819557308899,8.71162552178322
8.46581244898058,0.162948147312689,9.30930265038876
8.31264952854436,0.13684059693864,9.54377713285201
8.3538734722279,0.141349545119678,9.52442529476277
9.0422968351573,0.176329411995681,8.1846827277645
7.45613199110462,0.162526988182861,8.22865599917659
8.23521314821001,0.122997402622231,9.43678098483112
7.99590295590282,0.161876374753373,9.36293259608941
7.13960485324787,0.274130381679818,6.63145563519489
7.61207150520427,0.195506041041753,8.45994509567331
8.73961353831888,0.131173998255936,8.75108582371208
7.89461355796462,0.100828837378476,8.03246476411639
8.29854977670401,0.19768390295103,8.9063582166759
8.22709856659561,0.121813117922783,9.4158724412529
8.04492393750902,0.13855482153905,9.5001574313815
7.7090790294819,0.158197663161365,8.94185395233617
7.53991557458075,0.223773125555555,7.96775940958207
8.71863647921603,0.150876099578059,8.98103749944875
8.52462949092067,0.128114892914965,9.21526332717115
7.71614907705548,0.152020818606393,8.9595256848328
7.23953441970809,0.225813796585045,7.36411612916816
8.0705651045516,0.124050357112696,9.38542936750363
7.35991245764584,0.196943959595873,7.88993509089834
8.26048357328932,0.199922840736307,8.87551850993887
8.81564108018506,0.14402422977949,8.71327584268343
8.56793843130484,0.112456444474319,8.67847759540471
7.91398029676337,0.188918434344031,8.95040885015097
8.14334281009867,0.157454886866821,9.48696650980292
8.94669699618357,0.215472864184076,7.99658009591414
7.70464206154269,0.174013557678501,8.84872500633108
8.25213332685845,0.171481371016519,9.33100098632161
7.9412700585004,0.184010922363747,9.04616123645666
8.18055460588901,0.12068427036539,9.38956357148497
7.67193343246447,0.399090039086419,5.2494516740453
8.62505290648534,0.205668438706769,8.55465726220355
8.3387335871445,0.101699962374163,8.57517773528403
8.42959575040553,0.106390105996031,8.70881389507898
7.74655672406832,0.108068441727009,7.94432853316477
7.9028395250281,0.0900369347223615,6.97601824893995
8.72640436093881,0.163186088219282,8.93379033952864
7.94777855816709,0.164480611458709,9.29258847286474
7.63166885841243,0.133191616880011,8.49347492143937
8.14440888115844,0.0926568919785306,7.88936650606116
8.00446719752356,0.150210940739093,9.45132050862086
8.28419391680377,0.211572200092222,8.65876860138457
8.42901964016267,0.0911684961716294,7.5062442232651
8.40670725361129,0.0990601794156942,8.2860026843277
8.48441052605827,0.270030173440519,7.47932011912685
7.70411673916181,0.161247402376564,8.92307675384054
8.41034584264446,0.134252728386167,9.45028957745984
8.52460397682742,0.16515253416052,9.22471186841262
