"ID_LogUnit","AGB","MAP","RainSeas","BulkDens","AreaLogUnit"
"TON004",281.684086533333,3310.5,49.75,1.29,307.57642
"TON005",292.210900666667,3296.66666666667,49.6666666666667,1.29,236.54893
"TON006",311.812653666667,3316.66666666667,49,1.29,186.21247
"TON007",310.79829585,3336.66666666667,49,1.29,358.67252
"TON008",320.8281652,3339,49,1.29,201.67261
"TON009",303.3793182,3336,49,1.29,291.12736
"TON010",297.6391095,3312.5,49.5,1.29,132.99862
"TON011",303.84826815,3346.33333333333,49,1.29,302.63155
"TON012",338.5406817,3333,49.25,1.29,129.2494
"TON013",299.8830223,3344,49,1.29,135.20476
"CMI003",304.0592146,2549.66666666667,36,1.29,482.72114
"CMI004",297.970542933333,2554.83333333333,36,1.29,546.46817
"CMI005",307.97176315,2561,36,1.29,278.45178
"CMI006",318.289230442857,2557.14285714286,36,1.29,569.70326
"CMI007",316.89308114,2565.66666666667,36,1.29,569.81017
"CMI008",314.8185455,2567,36,1.29,274.05546
"CMI009",298.09908026,2567.8,36,1.29,466.81353
"CMI010",281.25597885,2564.8,36,1.29,404.15418
"CMI011",308.519859766667,2560,36,1.29,337.68192
"CMI012",309.69035698,2562.55555555556,36,1.29,639.92179
"CMI013",323.5248053,2565.5,36,1.29,202.17773
"CMI014",309.9318251,2567.8,36,1.29,473.50319
"CMI015",305.718890333333,2568.25,36,1.29,314.56694
"CMI016",318.258491425,2570.33333333333,36,1.29,489.47318
"CMI017",323.1334192,2570,36,1.29,337.66544
"CMI018",309.2742215,2573.25,36,1.29,436.41672
"CMI019",311.1365562,2570.6,36,1.29,484.27463
"CMI020",335.430653233333,2572,35.6,1.29,482.62555
"CMI021",301.229466175,2571.66666666667,35.1666666666667,1.29,416.72436
"CMI022",326.546872116667,2570.14285714286,35.8571428571429,1.29,674.53903
"CMI023",312.36586594,2571.6,36,1.29,394.36613
"CMI024",324.20996406,2571.8,35.8,1.29,444.05588
"CMI025",357.0629654,2569,35.875,1.29,549.74055
"CMI027",337.63930174,2569.4,36,1.29,314.45131
"CMI028",326.20806165,2571.5,36,1.29,204.84024
"CMI029",341.244807433333,2570.33333333333,36,1.29,271.35573
"CMI030",332.1881443,2570,36,1.29,203.40451
"CMI031",326.665881675,2569.25,36,1.29,567.30055
"CMI032",311.720184175,2567.25,36,1.29,372.80242
"CMI033",314.375261025,2567.75,36,1.29,307.73305
"CMI034",309.3185438,2568.8,36,1.29,477.09457
"CMI035",321.451959933333,2569.14285714286,36,1.29,639.48921
"CMI036",357.418275033333,2568,36,1.29,225.823
"MER003",273.56193685,2501.66666666667,38,1.21,294.44935
"MER005",290.283722,2510.75,37.25,1.21,280.33295
"MER006",308.9302295,2522.33333333333,37,1.29,290.99579
"MER007",300.713125233333,2532,37,1.29,385.15829
"MER008",313.6283632,2525,37,1.29,276.51405
"MER011",306.383924833333,2540.6,37,1.29,582.82583
"MER012",321.044744716667,2535.14285714286,37,1.29,523.10657
"MER013",304.544833757143,2542.14285714286,37,1.29,567.75368
"MER014",324.93234486,2547,36.75,1.29,532.95585
"MER016",316.4982752,2559,36.3333333333333,1.29,285.73843
"MER017",313.129821128571,2559.28571428571,36,1.29,575.28785
"MER018",317.213967757143,2558.71428571429,36.5714285714286,1.29,554.16162
"MER019",318.9049353,2550.66666666667,37,1.29,214.14774
"MER020",303.433977,2547.5,37,1.29,273.98934
"MER021",287.690756,2541,37,1.29,327.14604
"MER022",279.68233915,2540.25,37,1.21,270.74261
"MER023",301.1676495,2548.66666666667,37,1.29,254.71865
"MER024",301.687159,2554,36.8333333333333,1.29,456.63594
"MER025",311.380164566667,2567.5,36.25,1.29,679.31515
"MER026",315.823014425,2560.72727272727,36.4545454545455,1.29,895.50784
"MER027",315.70715085,2568.28571428571,36.7142857142857,1.29,519.27327
"MER028",297.62340212,2566,37,1.29,548.42881
"MER029",300.198643575,2570,36.75,1.29,305.83484
"MER030",296.138677566667,2571,36.2,1.29,380.26942
"MER031",296.536627,2569.83333333333,36,1.29,428.60143
"MER032",295.58018265,2549,37,1.29,333.41572
"MER033",288.588718833333,2553.6,37,1.29,411.90278
"MER034",291.1846597,2554,37,1.29,206.34387
"MER035",289.361106966667,2546,37,1.21,274.43548
"MER036",297.332753325,2557.2,37,1.21,451.09526
"MER037",304.30359463,2561.6,37,1.29,955.98504
"MER040",293.1865185,2557.33333333333,37,1.21,231.45038
"MER041",290.276221075,2549.4,37,1.21,429.44975
"MER044",306.693340666667,2548.2,37.6,1.21,397.62164
"VAL001",307.752763425,2479,38,1.21,381.88065
"VAL002",291.11568906,2483.57142857143,38.1428571428571,1.21,512.41829
"VAL003",297.0570291,2469.16666666667,38.6666666666667,1.21,517.72365
"VAL004",286.406375233333,2491.8,38,1.21,498.03879
"VAL005",292.296378433333,2511.33333333333,38,1.21,277.04743
"VAL006",297.877802233333,2509.4,37.8,1.21,399.39815
"VAL007",288.72769365,2525.66666666667,37.6666666666667,1.21,360.19538
"VAL008",285.094864233333,2533.5,37,1.21,367.54246
"VAL009",287.834361866667,2537.66666666667,37,1.21,305.37965
"VAL010",287.1347914,2538.14285714286,37.2857142857143,1.21,470.55208
"VAL011",297.162051,2542,37,1.21,299.62132
"VAL012",291.004493533333,2533.66666666667,37.6666666666667,1.21,383.99238
"VAL013",293.21333935,2530.66666666667,37.6666666666667,1.21,238.69602
"VAL014",299.234561666667,2521.66666666667,37.6666666666667,1.21,310.00217
"VAL015",289.67721514,2516,38,1.21,442.7933
"VAL016",305.80912735,2502,38,1.21,317.57752
"VAL017",301.779389075,2509.75,38,1.21,355.11614
"VAL018",299.6813945,2522.33333333333,38,1.21,298.51552
"VAL024",319.6166401,2478.4,38.6,1.21,350.8468
"COE006",328.399227,3732.5,44,1.43,171.96739
"COE012",329.821986,3726,44,1.43,218.43348
"COE013",313.4992157,3717.5,44,1.43,199.02707
"COE015",318.0149126,3703.85714285714,44.7142857142857,1.43,122.99131
"COE016",309.84798465,3712,44,1.43,251.77705
"COE017",309.12670025,3717.75,44,1.43,283.5959
"COE018",314.926898766667,3714,44,1.43,267.74128
"COE019",309.0301421,3720.66666666667,44,1.43,293.34246
"COE020",316.613543,3712.5,44,1.43,184.80769
"COE021",313.7891217,3706.33333333333,44.6666666666667,1.43,217.34626
"COE022",322.300573666667,3705.33333333333,45,1.43,294.56979
"COE023",321.9361689,3701.33333333333,45,1.43,176.66995
"COE024",324.5925033,3697.33333333333,45,1.43,163.59923
"COE025",319.61846365,3696,45,1.43,143.10111
"COE026",342.98203735,3693.33333333333,45,1.43,194.346
"COE027",315.054912566667,3702.5,45,1.43,216.06949
"COE028",307.99699785,3715.33333333333,44,1.43,250.62452
"COE029",306.7283277,3720.66666666667,44,1.43,204.0845
"COE030",310.555737575,3724.25,44,1.43,302.20273
"COE031",336.168818666667,3731,44,1.43,264.56777
"COE032",323.8049101,3735.25,44,1.43,310.14219
"COE035",323.785666866667,3723.75,44,1.43,357.87255
"COE036",322.13432265,3714.5,44,1.43,199.37167
"COE037",313.6349343,3713.33333333333,44,1.43,277.18393
"COE038",310.29163465,3707.33333333333,44.6666666666667,1.43,174.55803
"COE039",325.81013365,3698.66666666667,45,1.43,246.96665
"COE040",323.21413415,3700,45,1.43,236.88985
"COE041",324.64655,3700.5,45,1.43,227.13305
"COE042",320.7874483,3707,44.75,1.43,284.35927
"COE045",309.485234,3693.66666666667,45,1.43,224.70983
"COE046",329.550917866667,3687,45,1.43,253.95119
"COE047",326.159376333333,3691,45,1.43,185.00691
"COE048",333.5628939,3685,45,1.43,281.60008
"COE049",329.0239037,3686.33333333333,45,1.43,202.02053
